green hot pepper	located	shelf
red onion	located	fridge
red onion	located	shelf
chopping board	located	kitchen cupboard
chopping board	located	counter
lettuce	located	fridge
handsoap	located	sink
wet striped pullover	located	clothesline
wet striped pullover	located	clothes drier
dirty white t-shirt	located	washing machine
dirty white t-shirt	located	laundry basket
dirty azure skirt	located	washing machine
dirty azure skirt	located	laundry basket
clean frying pan	located	kitchen cupboard
clean hawaiian shirt	located	wardrobe
fleece jacket	located	wardrobe
fleece jacket	located	coat hanger
black golf shoes	located	shoe cabinet
clean blue t-shirt	located	wardrobe
brown suit	located	wardrobe
wet hawaiian shirt	located	clothesline
wet hawaiian shirt	located	clothes drier
used tissue	located	pedal bin
used tissue	located	trash can
used tissue	located	wastepaper basket
striped tie	located	wardrobe
striped tie	located	chest of drawers
gray golf shoes	located	shoe cabinet
table lamp	located	end table
table lamp	located	side table
table lamp	located	nightstand
dirty colander	located	dishwasher
toothbrush	located	bathroom cabinet
wet orange dress	located	clothesline
wet orange dress	located	clothes drier
wet gray socks	located	clothesline
wet gray socks	located	clothes drier
wet purple dress	located	clothesline
wet purple dress	located	clothes drier
brown duvet	located	chest of drawers
brown duvet	located	wardrobe
brown duvet	located	bed
wet gray underpants	located	clothesline
wet gray underpants	located	clothes drier
long coat	located	wardrobe
long coat	located	coat hanger
dirty striped polo shirt	located	washing machine
dirty striped polo shirt	located	laundry basket
kitchen shears	located	cutlery drawer
dirty purple skirt	located	washing machine
dirty purple skirt	located	laundry basket
apron	located	kitchen cupboard
clean saucepan	located	kitchen cupboard
clean pie plate	located	kitchen cupboard
wet gray pullover	located	clothesline
wet gray pullover	located	clothes drier
red bell pepper	located	fridge
wet checkered t-shirt	located	clothesline
wet checkered t-shirt	located	clothes drier
dirty glass	located	dishwasher
clean black panties	located	chest of drawers
dirty sleeveless shirt	located	washing machine
dirty sleeveless shirt	located	laundry basket
clean black bra	located	chest of drawers
clean black bra	located	wardrobe
black belt	located	wardrobe
black belt	located	chest of drawers
pork chop	located	fridge
dirty knife	located	dishwasher
uniform	located	wardrobe
dirty green t-shirt	located	washing machine
dirty green t-shirt	located	laundry basket
black blanket	located	chest of drawers
black blanket	located	wardrobe
black blanket	located	bed
clean azure dress	located	wardrobe
gray duvet	located	chest of drawers
gray duvet	located	wardrobe
gray duvet	located	bed
lipstick	located	dressing table
knee high boots	located	shoe cabinet
wet striped t-shirt	located	clothesline
wet striped t-shirt	located	clothes drier
black tie	located	wardrobe
black tie	located	chest of drawers
clean tank top	located	wardrobe
plaid blanket	located	chest of drawers
plaid blanket	located	wardrobe
plaid blanket	located	bed
slippers	located	shoe cabinet
dirty dress pants	located	washing machine
dirty dress pants	located	laundry basket
dirty roasting tray	located	dishwasher
cleanser	located	bathroom cabinet
dirty brown bra	located	washing machine
dirty brown bra	located	laundry basket
chicken leg	located	fridge
rotten yellow potato	located	trash can
rotten yellow potato	located	pedal bin
hiking boots	located	shoe cabinet
clean gray polo shirt	located	wardrobe
wet gray bra	located	clothesline
wet gray bra	located	clothes drier
clean hoodie	located	wardrobe
spice container	located	kitchen cupboard
spice container	located	shelf
newspaper	located	end table
newspaper	located	side table
dirty teal t-shirt	located	washing machine
dirty teal t-shirt	located	laundry basket
clean orange dress	located	wardrobe
platform heels	located	shoe cabinet
dirty blue dress	located	washing machine
dirty blue dress	located	laundry basket
dirty pot	located	dishwasher
striped duvet	located	chest of drawers
striped duvet	located	wardrobe
striped duvet	located	bed
wet plaid blazer	located	clothesline
wet plaid blazer	located	clothes drier
carrot	located	fridge
work boots	located	shoe cabinet
clean purple dress	located	wardrobe
gray cap	located	hat rack
clean orange skirt	located	wardrobe
